FrameUs,ADC,SyncUs,MagnetUs
576,307,,
924,307,,
1328,308,,
1724,308,,
2128,309,,
2528,307,,
2928,309,,
3324,308,,
3728,308,,
4124,309,,
4524,309,,
4924,308,,
5328,308,,
5724,308,,
6124,308,,
6528,309,,
6928,308,,
7324,308,,
7728,309,,
8128,307,,
8524,308,,
8924,308,,
9328,308,,
9724,307,,
10124,309,,
10528,308,,
10928,308,,
11332,308,,
11728,308,,
12128,308,,
12524,309,,
12924,309,,
13324,309,,
13728,309,,
14128,308,,
14524,307,,
14928,309,,
15328,308,,
15724,307,,
16124,308,,
16528,307,,
16924,308,,
17324,307,,
17728,309,,
18128,308,,
18524,309,,
18924,308,,
19328,308,,
19724,309,,
20124,308,,
20520,309,,
20928,310,,
21328,310,,
21724,310,,
22124,309,,
22532,309,,
22924,309,,
23324,308,,
23728,308,,
24128,308,,
24524,308,,
24928,308,,
25328,309,,
25724,309,,
26124,308,,
26528,308,,
26924,307,,
27324,307,,
27728,308,,
28128,308,,
28524,308,,
28928,308,,
29328,308,,
29724,308,,
30124,307,,
30528,308,,
30924,308,,
31324,307,,
31724,308,,
32128,307,,
32524,307,,
32928,307,,
33328,307,,
33728,307,,
34124,307,,
34528,307,,
34928,306,,
35324,306,,
35724,305,,
36128,305,,
36528,306,,
36932,305,,
37328,306,,
37728,307,,
38124,307,,
38524,307,,
38924,307,,
39328,308,,
39724,307,,
40124,306,,
40528,307,,
40928,306,,
41324,307,,
41724,306,,
42128,306,,
42524,308,,
42924,307,,
43328,307,,
43728,307,,
44124,306,,
44528,308,,
44928,307,,
45324,306,,
45724,306,,
46124,307,,
46528,307,,
46924,306,,
47328,306,,
47728,307,,
48128,305,,
48524,306,,
48928,307,,
49324,306,,
49724,306,,
50124,306,,
50528,307,,
50924,306,,
51324,306,,
51728,307,,
52128,306,,
52524,306,,
52924,306,,
53328,307,,
53724,305,,
54124,306,,
54528,306,,
54928,305,,
55320,304,,
55728,305,,
56128,305,,
56524,305,,
56924,305,,
57328,306,,
57724,304,,
58124,306,,
58528,305,,
58928,305,,
59324,306,,
